,dHex_count,HexNAc_count,NeuAc_count,Hex_count,LacNAc_count,Glycan_type,mass,Intensity,Rsquared,Sample_collection_time,Sample_name,Sample_collection
0,0,0,0,0,-1,Core 1,534.2262,453.620471327499,0.995215127156162,22plus5,P7,P7-22plus5
1,0,0,1,-1,-1,STn,691.3002,428.341464461549,0.940727905241088,22plus5,P7,P7-22plus5
2,1,0,0,0,-1,Core 1,708.3154,287.499677446955,0.958004679240253,22plus5,P7,P7-22plus5
3,0,0,1,0,-1,Core 1,895.4,360.412624574349,0.994613390415178,22plus5,P7,P7-22plus5
4,1,1,0,0,-1,Core 1,953.4418,1814.96657112295,0.996681710063525,22plus5,P7,P7-22plus5
5,0,0,0,0,0,Core 2,983.4524,634.124791170254,0.992485662499353,22plus5,P7,P7-22plus5
6,1,0,0,0,0,Core 2,1157.5416,636.772358683297,0.995910488049003,22plus5,P7,P7-22plus5
7,0,0,2,0,-1,Core 1,1256.5738,90.6508838539745,0.998200486326475,22plus5,P7,P7-22plus5
8,1,0,1,1,-1,Core 1,1273.589,17.5635291132316,0.911204256227096,22plus5,P7,P7-22plus5
9,2,0,0,0,0,Core 2,1331.6308,66.7825476500237,0.989625910560012,22plus5,P7,P7-22plus5
10,0,0,1,0,0,Core 2,1344.6262,59.7366014407086,0.991996559420076,22plus5,P7,P7-22plus5
11,1,0,0,1,0,Core 2,1361.6414,19.1768193122102,0.99704259470705,22plus5,P7,P7-22plus5
12,1,1,0,0,0,Core 2,1402.668,80.413737723273,0.989971583635539,22plus5,P7,P7-22plus5
13,0,0,0,0,1,Core 2,1432.6786,31.0042848889612,0.998646965339622,22plus5,P7,P7-22plus5
14,3,0,0,0,0,Core 2,1505.72,10.9379945305207,0.947286887355552,22plus5,P7,P7-22plus5
15,1,0,1,0,0,Core 2,1518.7154,64.5281762363464,0.992679874395584,22plus5,P7,P7-22plus5
16,2,1,0,0,0,Core 2,1576.7572,147.533129165329,0.99534342071025,22plus5,P7,P7-22plus5
17,1,0,0,0,1,Core 2,1606.7678,46.7588899967098,0.987053936787616,22plus5,P7,P7-22plus5
18,2,0,1,0,0,Core 2,1692.8046,6.97810750187045,0.960838737010821,22plus5,P7,P7-22plus5
19,1,0,1,1,0,Core 2,1722.8152,3.6319526816058,0.943272216158756,22plus5,P7,P7-22plus5
20,2,0,0,0,1,Core 2,1780.857,39.6927594593015,0.990436119611056,22plus5,P7,P7-22plus5
21,1,0,0,1,1,Core 2,1810.8676,4.80018301418126,0.95708475793232,22plus5,P7,P7-22plus5
22,2,2,0,0,0,Core 2,1821.8836,10.975503456231,0.996539140144901,22plus5,P7,P7-22plus5
23,1,1,0,0,1,Core 2,1851.8942,5.29742606987476,0.939829257338321,22plus5,P7,P7-22plus5
24,1,0,2,0,0,Core 2,1879.8892,7.58158994385181,0.97956115265624,22plus5,P7,P7-22plus5
25,0,0,0,0,2,Core 2,1881.9048,3.90544204554743,0.97956115265624,22plus5,P7,P7-22plus5
26,2,1,1,0,0,Core 2,1937.931,9.23053327173293,0.995704506284705,22plus5,P7,P7-22plus5
27,3,0,0,0,1,Core 2,1954.9462,8.73254577888299,0.960598207540318,22plus5,P7,P7-22plus5
28,1,0,1,0,1,Core 2,1967.9416,8.62829246200814,0.967895845211417,22plus5,P7,P7-22plus5
29,3,2,0,0,0,Core 2,1995.9728,17.9054784514192,0.996225459706524,22plus5,P7,P7-22plus5
30,2,1,0,0,1,Core 2,2025.9834,7.12031850110314,0.924334956201374,22plus5,P7,P7-22plus5
31,1,0,0,0,2,Core 2,2055.994,5.23897049636378,0.948612186729099,22plus5,P7,P7-22plus5
32,3,1,0,0,1,Core 2,2200.0726,7.33358100112414,0.97672178978501,22plus5,P7,P7-22plus5
33,2,0,0,0,2,Core 2,2230.0832,3.9129485805157,0.945289718875428,22plus5,P7,P7-22plus5
34,4,1,0,0,1,Core 2,2374.1618,3.17004992228126,0.983657377129267,22plus5,P7,P7-22plus5
35,3,0,0,0,2,Core 2,2404.1724,2.04965082915527,0.915187817216231,22plus5,P7,P7-22plus5
46,0,0,0,0,-1,Core 1,534.2262,272.473219501572,0.970957971405172,25plus3,P9,P9-25plus3
47,0,0,1,-1,-1,STn,691.3002,403.849818650894,0.920178172457592,25plus3,P9,P9-25plus3
48,0,0,1,0,-1,Core 1,895.4,92.0754214883906,0.91064878364112,25plus3,P9,P9-25plus3
49,0,0,0,0,0,Core 2,983.4524,173.025466037109,0.981106953852944,25plus3,P9,P9-25plus3
50,1,0,0,0,0,Core 2,1157.5416,136.265006456588,0.987260233190704,25plus3,P9,P9-25plus3
51,0,0,2,0,-1,Core 1,1256.5738,26.2078809278082,0.991911790919023,25plus3,P9,P9-25plus3
52,2,0,0,0,0,Core 2,1331.6308,18.2293917508466,0.98635910059503,25plus3,P9,P9-25plus3
53,0,0,1,0,0,Core 2,1344.6262,20.068196304564,0.999278436207505,25plus3,P9,P9-25plus3
54,1,0,0,1,0,Core 2,1361.6414,9.99060754578033,0.988797174908709,25plus3,P9,P9-25plus3
55,0,0,0,0,1,Core 2,1432.6786,10.815471277299,0.990249708336587,25plus3,P9,P9-25plus3
56,1,0,1,0,0,Core 2,1518.7154,66.9306739950153,0.993850670643019,25plus3,P9,P9-25plus3
57,2,0,0,0,1,Core 2,1780.857,28.9655605533749,0.993066067166941,25plus3,P9,P9-25plus3
58,1,0,2,0,0,Core 2,1879.8892,19.8042168585279,0.950337954474154,25plus3,P9,P9-25plus3
59,0,0,0,0,2,Core 2,1881.9048,2.32941250086691,0.950337954474154,25plus3,P9,P9-25plus3
60,1,0,0,0,2,Core 2,2055.994,4.14809201034325,0.962900521048274,25plus3,P9,P9-25plus3
61,1,0,0,1,2,Core 2,2260.0938,2.37243352794644,0.963830641886024,25plus3,P9,P9-25plus3
62,1,1,0,0,2,Core 2,2301.1204,2.07620665537352,0.920870202359935,25plus3,P9,P9-25plus3
63,0,0,0,0,-1,Core 1,534.2262,360.774189688429,0.997901225076026,20plus5,P4,P4-20plus5
64,0,0,1,-1,-1,STn,691.3002,393.018399472269,0.991141283511001,20plus5,P4,P4-20plus5
65,1,0,0,0,-1,Core 1,708.3154,885.440516913351,0.999933244932032,20plus5,P4,P4-20plus5
66,0,0,1,0,-1,Core 1,895.4,303.325336926346,0.996028917063194,20plus5,P4,P4-20plus5
67,1,0,0,1,-1,Core 1,912.4152,473.432979122648,0.996561970653832,20plus5,P4,P4-20plus5
68,0,0,0,0,0,Core 2,983.4524,1139.91087096216,0.997939398821135,20plus5,P4,P4-20plus5
69,1,0,1,0,-1,Core 1,1069.4892,50.3650316048876,0.986074135487335,20plus5,P4,P4-20plus5
70,1,0,0,0,0,Core 2,1157.5416,510.355127925253,0.996179354042311,20plus5,P4,P4-20plus5
71,0,0,2,0,-1,Core 1,1256.5738,166.786246454579,0.998577147400508,20plus5,P4,P4-20plus5
72,1,0,1,1,-1,Core 1,1273.589,19.8037092807554,0.99492238622063,20plus5,P4,P4-20plus5
73,2,0,0,0,0,Core 2,1331.6308,301.700426968146,0.98064306256774,20plus5,P4,P4-20plus5
74,0,0,1,0,0,Core 2,1344.6262,369.000768902453,0.992480785756197,20plus5,P4,P4-20plus5
75,1,0,0,1,0,Core 2,1361.6414,205.26147821643,0.994518835812494,20plus5,P4,P4-20plus5
76,0,0,0,0,1,Core 2,1432.6786,57.780686956071,0.99907640626293,20plus5,P4,P4-20plus5
77,1,0,1,0,0,Core 2,1518.7154,190.731738602804,0.929967709845418,20plus5,P4,P4-20plus5
78,2,0,0,1,0,Core 2,1535.7306,327.345183870997,0.99527157536354,20plus5,P4,P4-20plus5
79,1,0,0,0,1,Core 2,1606.7678,39.9495007409239,0.989738988004018,20plus5,P4,P4-20plus5
80,0,0,2,0,0,Core 2,1705.8,107.374221065565,0.977950144668846,20plus5,P4,P4-20plus5
81,3,0,0,1,0,Core 2,1709.8198,185.030766318903,0.977950144668846,20plus5,P4,P4-20plus5
82,1,0,1,1,0,Core 2,1722.8152,106.990770073101,0.968927822094441,20plus5,P4,P4-20plus5
83,2,0,0,2,0,Core 2,1739.8304,56.5668968839475,0.98591561048343,20plus5,P4,P4-20plus5
84,2,0,0,0,1,Core 2,1780.857,28.2152970456533,0.988340903537477,20plus5,P4,P4-20plus5
85,0,0,1,0,1,Core 2,1793.8524,16.0225331466609,0.983546705825633,20plus5,P4,P4-20plus5
86,1,0,0,1,1,Core 2,1810.8676,8.65429327533922,0.980091207757439,20plus5,P4,P4-20plus5
87,2,0,1,1,0,Core 2,1896.9044,112.504745245476,0.995848439068221,20plus5,P4,P4-20plus5
88,3,0,0,2,0,Core 2,1913.9196,55.609320090618,0.988173322684473,20plus5,P4,P4-20plus5
89,3,0,0,0,1,Core 2,1954.9462,12.19998057001,0.933651336628284,20plus5,P4,P4-20plus5
90,2,0,0,1,1,Core 2,1984.9568,9.82025873468979,0.937578400559253,20plus5,P4,P4-20plus5
91,1,0,0,0,2,Core 2,2055.994,4.90900958867701,0.988194706783446,20plus5,P4,P4-20plus5
92,4,0,0,0,1,Core 2,2129.0354,4.5692662188442,0.958429411544359,20plus5,P4,P4-20plus5
93,0,0,2,0,1,Core 2,2155.0262,3.96709171351879,0.908875614741082,20plus5,P4,P4-20plus5
94,3,0,0,1,1,Core 2,2159.046,5.17597581279241,0.908875614741082,20plus5,P4,P4-20plus5
95,2,0,0,2,1,Core 2,2189.0566,3.00487617498331,0.978482875302397,20plus5,P4,P4-20plus5
96,2,0,0,0,2,Core 2,2230.0832,3.41606709319424,0.9255081297319,20plus5,P4,P4-20plus5
97,0,0,0,0,-1,Core 1,534.2262,453.962657822236,0.991453584351871,26plus0,P4,P4-26plus0
98,0,0,1,-1,-1,STn,691.3002,500.919619052609,0.984722718381661,26plus0,P4,P4-26plus0
99,1,0,0,0,-1,Core 1,708.3154,2206.95171830933,0.999038061144386,26plus0,P4,P4-26plus0
100,0,0,1,0,-1,Core 1,895.4,1316.08609532783,0.99957667586961,26plus0,P4,P4-26plus0
101,1,0,0,1,-1,Core 1,912.4152,1213.86377530529,0.998879155054652,26plus0,P4,P4-26plus0
102,1,1,0,0,-1,Core 1,953.4418,36.5529091755045,0.984215794689351,26plus0,P4,P4-26plus0
103,0,0,0,0,0,Core 2,983.4524,173.650916598445,0.993175015449628,26plus0,P4,P4-26plus0
104,1,0,1,0,-1,Core 1,1069.4892,112.10475140774,0.927873909331932,26plus0,P4,P4-26plus0
105,1,0,0,0,0,Core 2,1157.5416,79.1729275356735,0.990520432808278,26plus0,P4,P4-26plus0
106,0,0,2,0,-1,Core 1,1256.5738,274.825143583306,0.99545216253973,26plus0,P4,P4-26plus0
107,2,0,0,0,0,Core 2,1331.6308,27.3296350810034,0.980843096762546,26plus0,P4,P4-26plus0
108,0,0,1,0,0,Core 2,1344.6262,83.0522934346936,0.995180813584575,26plus0,P4,P4-26plus0
109,1,0,0,1,0,Core 2,1361.6414,32.2426309649521,0.992977786224214,26plus0,P4,P4-26plus0
110,3,0,0,0,0,Core 2,1505.72,9.91735073731947,0.983651639402468,26plus0,P4,P4-26plus0
111,1,0,1,0,0,Core 2,1518.7154,48.578495843036,0.989860024259594,26plus0,P4,P4-26plus0
112,2,0,0,1,0,Core 2,1535.7306,32.8771607935541,0.989157273480978,26plus0,P4,P4-26plus0
113,2,0,1,0,0,Core 2,1692.8046,20.2465844310956,0.988051405688746,26plus0,P4,P4-26plus0
114,0,0,2,0,0,Core 2,1705.8,16.4117790957541,0.948682375035625,26plus0,P4,P4-26plus0
115,3,0,0,1,0,Core 2,1709.8198,20.0216597549906,0.948682375035625,26plus0,P4,P4-26plus0
116,1,0,1,1,0,Core 2,1722.8152,14.2517713680336,0.929012441635374,26plus0,P4,P4-26plus0
117,1,0,2,0,0,Core 2,1879.8892,14.3457232823978,0.976582115173183,26plus0,P4,P4-26plus0
118,0,0,0,0,2,Core 2,1881.9048,3.35893737996284,0.976582115173183,26plus0,P4,P4-26plus0
119,2,0,1,1,0,Core 2,1896.9044,19.0583075615115,0.994567430723707,26plus0,P4,P4-26plus0
120,2,2,0,0,1,Core 2,2271.1098,2.95242474504073,0.943009799046431,26plus0,P4,P4-26plus0
121,4,1,0,0,1,Core 2,2374.1618,3.30793827573737,0.974089264852862,26plus0,P4,P4-26plus0
122,0,0,1,-1,-1,STn,691.3002,190.53739205305,0.926664162701836,20plus2,P10,P10-20plus2
123,1,0,0,0,-1,Core 1,708.3154,520.2426701717,0.999836686783378,20plus2,P10,P10-20plus2
124,0,0,1,0,-1,Core 1,895.4,131.087297999475,0.971133308720443,20plus2,P10,P10-20plus2
125,0,0,0,0,0,Core 2,983.4524,53.2942100311274,0.99996052741407,20plus2,P10,P10-20plus2
126,1,0,0,0,0,Core 2,1157.5416,55.387998970838,0.986976082365216,20plus2,P10,P10-20plus2
127,0,0,2,0,-1,Core 1,1256.5738,75.6713328559641,0.998378855182501,20plus2,P10,P10-20plus2
128,1,0,1,1,-1,Core 1,1273.589,6.41454066159608,0.977849578360125,20plus2,P10,P10-20plus2
129,2,0,0,0,0,Core 2,1331.6308,39.5249102336515,0.990393923585816,20plus2,P10,P10-20plus2
130,0,0,1,0,0,Core 2,1344.6262,18.7565598950098,0.983877043769657,20plus2,P10,P10-20plus2
131,0,0,0,0,1,Core 2,1432.6786,3.72878943125278,0.937117056079699,20plus2,P10,P10-20plus2
132,3,0,0,0,0,Core 2,1505.72,17.356688578091,0.971026198422743,20plus2,P10,P10-20plus2
133,1,0,1,0,0,Core 2,1518.7154,41.8312567879373,0.994172003333874,20plus2,P10,P10-20plus2
134,2,0,0,1,0,Core 2,1535.7306,3.46899155391148,0.91405225771462,20plus2,P10,P10-20plus2
135,1,0,0,0,1,Core 2,1606.7678,4.44048464118063,0.977715899154298,20plus2,P10,P10-20plus2
136,2,0,1,0,0,Core 2,1692.8046,33.6204511447405,0.998217119854034,20plus2,P10,P10-20plus2
137,2,0,0,0,1,Core 2,1780.857,6.80529065026921,0.965500555546525,20plus2,P10,P10-20plus2
138,1,0,2,0,0,Core 2,1879.8892,19.4763965344176,0.995531463914857,20plus2,P10,P10-20plus2
139,0,0,0,0,2,Core 2,1881.9048,0.84431706040157,0.995531463914857,20plus2,P10,P10-20plus2
140,3,0,0,0,1,Core 2,1954.9462,6.6904871263641,0.990867709527116,20plus2,P10,P10-20plus2
141,1,0,0,0,2,Core 2,2055.994,1.66101013909259,0.972576642483726,20plus2,P10,P10-20plus2
148,0,0,0,0,-1,Core 1,534.2262,652.066463170371,0.99896273291604,31plus3,P27,P27-31plus3
149,0,0,1,-1,-1,STn,691.3002,799.784402259709,0.956951637705938,31plus3,P27,P27-31plus3
150,1,0,0,0,-1,Core 1,708.3154,1780.80583951429,0.999371052132062,31plus3,P27,P27-31plus3
151,0,0,1,0,-1,Core 1,895.4,1923.42040709083,0.998924617908486,31plus3,P27,P27-31plus3
152,1,0,0,1,-1,Core 1,912.4152,962.139149589089,0.998567212712639,31plus3,P27,P27-31plus3
153,0,0,0,0,0,Core 2,983.4524,116.325134219615,0.993832064512916,31plus3,P27,P27-31plus3
154,1,0,1,0,-1,Core 1,1069.4892,88.7868930942033,0.990845933386968,31plus3,P27,P27-31plus3
155,1,0,0,0,0,Core 2,1157.5416,56.4402924330428,0.984171365839663,31plus3,P27,P27-31plus3
156,0,0,2,0,-1,Core 1,1256.5738,414.158885710359,0.994112259289328,31plus3,P27,P27-31plus3
157,1,0,1,1,-1,Core 1,1273.589,26.8737839345626,0.95987501714685,31plus3,P27,P27-31plus3
158,2,0,0,0,0,Core 2,1331.6308,33.3539004981278,0.989341169709592,31plus3,P27,P27-31plus3
159,0,0,1,0,0,Core 2,1344.6262,53.2940531042371,0.990755739404501,31plus3,P27,P27-31plus3
160,1,0,0,1,0,Core 2,1361.6414,12.6687199452876,0.913439201649641,31plus3,P27,P27-31plus3
161,3,0,0,0,0,Core 2,1505.72,10.7334050151476,0.947641444624665,31plus3,P27,P27-31plus3
162,1,0,1,0,0,Core 2,1518.7154,48.9089666256816,0.997966026597211,31plus3,P27,P27-31plus3
163,2,0,0,1,0,Core 2,1535.7306,16.051560386775,0.989802299197605,31plus3,P27,P27-31plus3
164,1,0,0,0,1,Core 2,1606.7678,2.93824613384249,0.942055296132503,31plus3,P27,P27-31plus3
165,2,0,1,0,0,Core 2,1692.8046,22.693817226902,0.976573987272686,31plus3,P27,P27-31plus3
166,0,0,2,0,0,Core 2,1705.8,14.739423279999,0.963277031644693,31plus3,P27,P27-31plus3
167,3,0,0,1,0,Core 2,1709.8198,10.1392878826687,0.963277031644693,31plus3,P27,P27-31plus3
168,1,0,1,1,0,Core 2,1722.8152,4.53639409831755,0.900736075829601,31plus3,P27,P27-31plus3
169,0,0,1,0,1,Core 2,1793.8524,2.4894008031156,0.924430724637496,31plus3,P27,P27-31plus3
170,1,0,2,0,0,Core 2,1879.8892,21.174912407516,0.993270369444193,31plus3,P27,P27-31plus3
171,0,0,0,0,2,Core 2,1881.9048,1.10210211259073,0.993270369444193,31plus3,P27,P27-31plus3
172,2,0,1,1,0,Core 2,1896.9044,14.4088393280743,0.978182929243375,31plus3,P27,P27-31plus3
173,3,0,0,2,0,Core 2,1913.9196,3.48809415977654,0.975612144168114,31plus3,P27,P27-31plus3
174,3,0,0,0,1,Core 2,1954.9462,2.60317056590315,0.961240060704288,31plus3,P27,P27-31plus3
175,1,0,1,0,1,Core 2,1967.9416,2.1706976211727,0.952707532140483,31plus3,P27,P27-31plus3
176,2,0,1,0,1,Core 2,2142.0308,1.62449486782111,0.980068173375033,31plus3,P27,P27-31plus3
177,0,0,0,0,-1,Core 1,534.2262,430.49249661967,0.998724085469113,22plus4,P20,P20-22plus4
178,0,0,1,-1,-1,STn,691.3002,838.356690575925,0.976577667599065,22plus4,P20,P20-22plus4
179,1,0,0,0,-1,Core 1,708.3154,151.365522397335,0.914803226471486,22plus4,P20,P20-22plus4
180,0,0,1,0,-1,Core 1,895.4,600.532201322211,0.99803979422573,22plus4,P20,P20-22plus4
181,1,0,0,1,-1,Core 1,912.4152,29.6173079510811,0.998449366489472,22plus4,P20,P20-22plus4
182,0,0,0,0,0,Core 2,983.4524,231.651060597948,0.998606464657484,22plus4,P20,P20-22plus4
183,1,0,1,0,-1,Core 1,1069.4892,59.072079505,0.9815905395704,22plus4,P20,P20-22plus4
184,1,0,0,0,0,Core 2,1157.5416,64.93624255384,0.99366999171133,22plus4,P20,P20-22plus4
185,0,0,2,0,-1,Core 1,1256.5738,35.9305471539531,0.996594534463412,22plus4,P20,P20-22plus4
186,2,0,0,0,0,Core 2,1331.6308,5.13906097888963,0.938437117806188,22plus4,P20,P20-22plus4
187,0,0,1,0,0,Core 2,1344.6262,61.2295949394301,0.99461519041387,22plus4,P20,P20-22plus4
188,1,0,0,1,0,Core 2,1361.6414,7.86543342357692,0.941061786126794,22plus4,P20,P20-22plus4
189,3,0,0,0,0,Core 2,1505.72,2.65880302839725,0.928948115812404,22plus4,P20,P20-22plus4
190,1,0,1,0,0,Core 2,1518.7154,55.287442589884,0.998200306987463,22plus4,P20,P20-22plus4
191,1,0,0,0,1,Core 2,1606.7678,2.77162096370486,0.931046018668871,22plus4,P20,P20-22plus4
192,1,0,1,1,0,Core 2,1722.8152,4.55275086441788,0.900284474144057,22plus4,P20,P20-22plus4
193,2,0,0,0,1,Core 2,1780.857,4.02773358531145,0.967010304241476,22plus4,P20,P20-22plus4
194,0,0,1,0,1,Core 2,1793.8524,2.0151223904088,0.980195947518122,22plus4,P20,P20-22plus4
195,1,0,2,0,0,Core 2,1879.8892,7.89027603861816,0.991428024491841,22plus4,P20,P20-22plus4
196,0,0,0,0,2,Core 2,1881.9048,0.811702605525685,0.991428024491841,22plus4,P20,P20-22plus4
197,1,0,1,0,1,Core 2,1967.9416,2.36140560781224,0.94400054142066,22plus4,P20,P20-22plus4
198,1,0,0,0,2,Core 2,2055.994,1.47561756168209,0.972690712988581,22plus4,P20,P20-22plus4
224,0,0,0,0,-1,Core 1,534.2262,207.945471027905,0.998916140504089,10plus3,P23,P23-10plus3
225,1,0,0,0,-1,Core 1,708.3154,660.573864393232,0.996882647657897,10plus3,P23,P23-10plus3
226,0,0,1,0,-1,Core 1,895.4,616.74885091738,0.993087423375094,10plus3,P23,P23-10plus3
227,1,0,0,1,-1,Core 1,912.4152,34.6999944616614,0.999779444333503,10plus3,P23,P23-10plus3
228,1,1,0,0,-1,Core 1,953.4418,3452.65227026803,0.998653715967554,10plus3,P23,P23-10plus3
229,0,0,0,0,0,Core 2,983.4524,242.165154317709,0.989339004701821,10plus3,P23,P23-10plus3
230,1,0,1,0,-1,Core 1,1069.4892,39.9586372319712,0.969840372441696,10plus3,P23,P23-10plus3
